piece_index,canonical_composer,canonical_title,year,split,midi_filename,total_length_sec,section_index,start_sec,end_sec,num_onsets,onsets_per_sec,median_note_length_sec,median_ioi_sec,speed_category,speed_category_num
0,Alban Berg,Sonata Op. 1,2018,train,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,703.9817708333333,1,0.0,60.0,171,2.85,0.2486979166666714,0.2643229166666732,slow,0
0,Alban Berg,Sonata Op. 1,2018,train,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,703.9817708333333,2,60.0,120.0,204,3.4,0.1881510416666643,0.234375,medium,1
0,Alban Berg,Sonata Op. 1,2018,train,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,703.9817708333333,3,120.0,180.0,105,1.75,0.5208333333333712,0.5390625,slow,0
0,Alban Berg,Sonata Op. 1,2018,train,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,703.9817708333333,4,180.0,240.0,198,3.3,0.1940104166666714,0.2708333333333428,medium,1
0,Alban Berg,Sonata Op. 1,2018,train,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,703.9817708333333,5,240.0,360.0,341,2.841666666666667,0.2718223057184762,0.2699150018328307,slow,0
0,Alban Berg,Sonata Op. 1,2018,train,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,703.9817708333333,6,360.0,420.0,249,4.15,0.1015625,0.1731770833332859,fast,2
0,Alban Berg,Sonata Op. 1,2018,train,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,703.9817708333333,7,420.0,480.0,163,2.716666666666667,0.3776041666667424,0.3313802083333428,slow,0
0,Alban Berg,Sonata Op. 1,2018,train,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,703.9817708333333,8,480.0,600.0,413,3.441666666666667,0.1471070419693194,0.2532630901937046,medium,1
0,Alban Berg,Sonata Op. 1,2018,train,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,703.9817708333333,9,600.0,703.9817708333333,82,0.7885997645821339,0.8046081046750578,0.9367695630084416,slow,0
1,Alban Berg,Sonata Op. 1,2008,train,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,764.7174479166666,1,0.0,420.0,1091,2.597619047619048,0.4067602113886332,0.341155381148787,slow,0
