piece_index,composer,title,split,year,midi_filename,start_sec,end_sec,duration_sec,is_split_out,median_ioi_sec,median_note_length_sec,overall_median_ioi_sec,overall_median_note_length_sec
0,Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,0.0,120.0,120.0,False,,,,
0,Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,180.0,300.0,120.0,False,,,,
0,Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,480.0,540.0,60.0,False,,,,
0,Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,120.0,180.0,60.0,True,0.5390625,0.5208333333333712,0.2669270833333499,0.2096354166666572
0,Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,300.0,360.0,60.0,True,0.3138020833333144,0.3333333333333144,0.2669270833333499,0.2096354166666572
0,Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,360.0,420.0,60.0,True,0.17317708333328596,0.1015625,0.2669270833333499,0.2096354166666572
0,Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,420.0,480.0,60.0,True,0.3313802083333428,0.37760416666674246,0.2669270833333499,0.2096354166666572
0,Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,540.0,600.0,60.0,True,0.23828125,0.12369791666662877,0.2669270833333499,0.2096354166666572
0,Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,600.0,660.0,60.0,True,0.7662760416669698,0.5989583333335986,0.2669270833333499,0.2096354166666572
1,Alban Berg,Sonata Op. 1,train,2008,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,0.0,120.0,120.0,False,,,,
1,Alban Berg,Sonata Op. 1,train,2008,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,180.0,300.0,120.0,False,,,,
1,Alban Berg,Sonata Op. 1,train,2008,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,360.0,420.0,60.0,False,,,,
1,Alban Berg,Sonata Op. 1,train,2008,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,540.0,600.0,60.0,False,,,,
1,Alban Berg,Sonata Op. 1,train,2008,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,120.0,180.0,60.0,True,0.4622395833333428,0.5000000000000213,0.3203124999999716,0.35286458333333126
1,Alban Berg,Sonata Op. 1,train,2008,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,300.0,360.0,60.0,True,0.6191406249999716,0.671223958333286,0.3203124999999716,0.35286458333333126
1,Alban Berg,Sonata Op. 1,train,2008,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,420.0,480.0,60.0,True,0.22851562499997158,0.23893229166662877,0.3203124999999716,0.35286458333333126
1,Alban Berg,Sonata Op. 1,train,2008,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,480.0,540.0,60.0,True,0.33072916666685614,0.4804687499999716,0.3203124999999716,0.35286458333333126
1,Alban Berg,Sonata Op. 1,train,2008,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,600.0,660.0,60.0,True,0.2578125000001137,0.22200520833337123,0.3203124999999716,0.35286458333333126
